population time_taken
10 0.7580128870004046
510 1.651722231000349
1010 2.3711100419996
1510 2.5727723250001873
2010 2.9887782450005034
2510 3.0472972030001984
3010 3.189000864999798
3510 3.398513811000157
4010 3.3759102970007007
4510 3.38347738199991
5010 3.3912021630003437
5510 3.462879585000337
6010 3.5199526149999656
6510 3.5107262450001144
7010 3.5708901609996246
7510 3.5618298600002163
8010 3.5715848390000247
8510 3.624496446000194
9010 3.622021704999497
9510 3.662718550000136
10010 3.6978081890001704
10510 3.68407096700048
11010 3.7262490080001953
11510 3.70467761800046
12010 3.685554628999853
12510 3.7421644999994896
13010 3.747088015999907
13510 3.733416254999611
14010 3.7748898170002576
14510 3.7889845869995042
15010 3.786122317999798
15510 3.8028063089996067
16010 3.81574947000081
16510 3.8268134489999284
17010 3.8272566129999177
17510 3.8431207599996924
18010 3.868606092000846
18510 3.835619307000343
19010 3.899191354999857
19510 3.901643401000001
20010 3.8927429370005484
20510 3.935049316000004
21010 3.928164568000284
21510 3.9376644300000407
22010 3.9087956200000917
22510 3.994885625000279
23010 3.9764094130005105
23510 3.952127034000114
24010 3.980588915000226
24510 3.9746754370007693
25010 3.9717307820001224
25510 3.9969377540001005
26010 4.00119201400048
26510 4.0470495180006765
27010 4.01876225199976
27510 4.020286929999202
28010 4.002005423999435
28510 4.068190431999938
29010 4.043777169999885
29510 4.025726757000484
30010 4.059844104000149
30510 4.08324560300025
31010 4.090700496999489
31510 4.080721014999654
32010 4.096322487999714
32510 4.112065598000299
33010 4.116691166999772
33510 4.128501672000311
34010 4.086109792999196
34510 4.18280004799999
35010 4.16611027900035
35510 4.147957991000112
36010 4.1982318000000305
36510 4.213704776000668
37010 4.151800231999914
37510 4.186887169000329
38010 4.203690649000237
38510 4.146714604000408
39010 4.178642419000425
39510 4.192774107999867
40010 4.2442947520003145
40510 4.200514587999351
41010 4.236810283000523
41510 4.211159647000386
42010 4.225181353000153
42510 4.304870444000699
43010 4.240167812999971
43510 4.260278808000294
44010 4.274327355999958
44510 4.273051969000335
45010 4.320070173000204
45510 4.3120824359994
46010 4.353397992999817
46510 4.3401492200000575
